name,description,property_type_name,province_name,district_name,ward_name,street_name,project_name,price,area,floor_count,frontage_width,house_depth,road_width,bedroom_count,bathroom_count,house_direction,balcony_direction,published_at
Bán căn hộ The Park Home Trần Thái Tông – Công viên Cầu Giấy 120m2 3 ngủ 2 vệ sinh - Căn góc siêu đẹp,"Bán căn hộ The Park Home Trần Thái Tông – Công viên Cầu Giấy 120m2 3 ngủ 2 vệ sinh - Căn góc siêu đẹp Diện tích 120m2 thiết kế 3PN 2WC nhà đẹp đủ đồ về ở luôn Nội thất đủ đồ cao cấp, sàn gỗ, trần thạch cao, nóng lạnh, điều hòa, tủ bếp, tủ lạnh, máy giặt, sofa, bàn ăn….chỉ về ở Sổ đỏ chính chủ Giá 10.7 tỷ có thương lượng Liên hệ: [phone_number]",Căn hộ chung cư,Hà Nội,Cầu Giấy,Dịch Vọng,,The Park Home,10700000000.0,120.0,,,,,3.0,2.0,,,2025-06-02T02:32:22.982000
"Bán gấp shophouse đẹp tại Kiến Hưng Luxury, 6 tầng 1 hầm vị trí kinh doanh sầm uất","Nhanh tay sở hữu shophouse đẹp tại Kiến Hưng Luxury, phường Kiến Hưng, quận Hà Đông, Hà Nội. - Diện tích 129m2 với 6 tầng và mặt tiền 6m, rất phù hợp cho kinh doanh. - Gồm 8PN và 7WC, không gian rộng rãi và tiện nghi. - Nội thất đầy đủ như điều hòa, tủ lạnh, giường... - Đường vào rộng 42m, thuận tiện cho ô tô ra vào. - Pháp lý đầy đủ, đảm bảo an toàn cho đầu tư. Giới thiệu dự án. Dự án Kiến Hưng Luxury bao gồm 266 căn nhà liền kề và nhà phố thương mại, phong cách tân cổ điển, với diện tích từ 61 - 130m2. Các căn shophouse có tổng diện tích sử dụng khoảng 631m2, hoàn hảo cho nhu cầu kinh doanh và sinh hoạt. Dự án được trang bị hệ thống an ninh 24/24, bãi đỗ xe thông minh, cùng với các tiện ích như trường học, công viên, và trung tâm thương mại lớn trong bán kính 5km. - Cách trường THCS Kiến Hưng và trường tiểu học Marie Curie II khoảng 1km. - Cách chợ và siêu thị Đức Thành khoảng 1,5km. - Cách bệnh viện Đa khoa Quốc tế Thiên Đức khoảng 2km. Liên hệ ngay để được tư vấn miễn phí: [phone_number], Nguyễn Đăng Phan.",Shophouse,Hà Nội,Hà Đông,Kiến Hưng,,Kiến Hưng Luxury,38000000000.0,129.0,,6.0,,,,,Tây Bắc,Tây Bắc,2025-06-06T04:37:47.307000
"Chính chủ bán CCMN Dòng tiền 60tr/th, Hai Bà Trưng, 11 phòng full đồ, gần Bách Kinh Xây","Chính chủ gửi bán nhanh toà CCMN mới tinh phố Thanh Nhàn, quận Hai Bà Trưng. - Diện tích 52m2; 5 tầng; MT 5,2m chia 3p/sàn thang máy đẹp long lanh. Gần BV Thanh Nhàn, Bạch Mai... Gần hồ Hoàn Kiếm, TTTM Times City. Tổng 11p cho thuê đc 4,5-5tr/p. Dòng tiền ~50 - 55tr/tháng (650tr/năm). PCCC tự động từng phòng, lối thoát hiểm đi riêng ra mặt trước = thang bộ. Cửa chống cháy tầng 1 và từng tầng. Vị trí trung tâm, cạnh Bách Kinh Xây cho thuê lúc nào cũng đông khách. Giá 12,8 tỷ có thương lượng, sổ đẹp giao dịch ngay. Liên hệ e Tú Anh [phone_number] xem nhà - giá tốt k qua sàn.",Nhà,Hà Nội,Hai Bà Trưng,Thanh Nhàn,Võ Thị Sáu,,12800000000.0,52.0,,5.0,,,,,,,2025-06-07T01:44:04.308000
"Bán nhà phố Thanh Lân, Hoàng Mai, xây 5 tầng kiên cố, thoáng - sáng, sân rộng, 38m, giá 6,05 tỷ","Bán nhà phố Thanh Lân, Hoàng Mai, xây 5 tầng kiên cố, thoáng - sáng, sân trước nhà rộng, 38m, giá 6,05 tỷ . Chú Thuỷ chủ nhà là giáo viên về hưu, gửi bán căn nhà đang ở để về sống cùng con trai . Nhà xây kiên cố, gần ô tô, xung quanh nhiều tiện ích như: chợ, trường học các cấp, vài phút ra các trường đại học. . Sổ đỏ chính chủ, sang tên nhanh. Liên hệ em Bang để gặp chủ nhà - Ngoài ra em Bang còn nhiều nhà, chủ gửi bán: nhà riêng phố Lĩnh Nam, nhà riêng phố Nam Dư, nhà riêng phố Vĩnh Hưng, nhà riêng phố Đại Đồng, nhà riêng phố Ngũ Nhạc",Nhà,Hà Nội,Hoàng Mai,Thanh Trì,Thanh Lân,,6050000000.0,38.0,,,,,,,,,2025-06-04T17:53:14.534000
Trần duy hưng - 48m x 5 tầng thang máy - ngõ thông - gần phố - lô góc,"+ Nhà toạ lạc tại phố VIP Trần Duy Hưng, khu vực dân trí cao, kinh doanh buôn bán sầm uất. Ngõ trước nhà thông, ba gác đỗ cửa, 55m ra mặt phố. + Nhà xây mới 5 tầng thang máy. Mặt tiền rộng 7m. Trước nhà view thoáng, cây xanh, không khí trong lành, ban ngày không cần bật đèn. Thiết kế hiện đại full nội thất, mỗi tầng 1 ngủ rộng khép kín, bồn tắm vách kính sang xịn mịn. + Sổ đỏ vuông vắn, sẵn sàng giao dịch. Lh : [phone_number]",Nhà,Hà Nội,Cầu Giấy,Trung Hòa,Trần Duy Hưng,,13800000000.0,48.0,,7.0,,,3.0,,,,2025-06-24T23:39:30.477000
Bán nhà Khương Đình - Thanh Xuân ngõ thông - cách ôtô 20m dừng đỗ 20m - nhà dân xây BTCT - ở sướng,"Ngõ thông di chuyển thuận tiện, cách ô tô dừng đỗ chỉ 30m. Nhà dân xây chắc chắn, phù hợp vợ chồng trẻ. Thiết kế: - Tầng 1: Khách + bếp + vệ sinh + để xe. - Tầng 2: Phòng ngủ rộng + vệ sinh. - Tầng 3: Phòng ngủ + sân phơi. Pháp lý sổ đỏ chính chủ sẵn sàng giao dịch.",Nhà,Hà Nội,Thanh Xuân,Khương Đình,Khương Đình,,4300000000.0,30.0,,3.6,,,2.0,2.0,,,2025-06-26T05:45:15.227000
"Chính chủ gửi bán căn 2N2VS căn góc view hồ san hô tòa PR1 Vinhomes ocean park, giá tốt","Thông tin căn hộ : PR1.1617 Căn 2N2VS - căn góc view hồ san hô tòa PR1 Vinhomes ocean park . - Diện tích : 64,1 m2 - Giá tốt: 4,310 tỷ - Ban công : Tây Nam , logia phụ Đông Nam . Tạo đối lưu gió khiến căn phòng thoáng mát quanh năm - View hồ san hô đắt giá tại Vinhomes ocean park . - Vị trí cửa ngõ dự án, dễ dàng di chuyển vào nội thành HN và các tỉnh lân cận Hưng Yên, Hải phòng,... - Tiến độ thanh toán giãn, hỗ trợ vay 70%. - Nhận nhà: T4/2027. Bể bơi nội khu rộng 1000m tiêu chuẩn Olympic. Quảng trường Tháp Eiffel cao 30m. Khu vui chơi trẻ em Kawai. Tổ hợp sân thể thao dành riêng cho cư dân The Paris. Sảnh lễ tân 24/7. Hệ thống Phòng cháy chữa cháy hiện đại đảm bảo an toàn tuyệt đối cho cư dân. Tiêu chuẩn bàn giao được nâng cấp vượt trội hơn hẳn: Hệ thống tủ bếp trên tủ bếp dưới, hút mùi, điều hòa multi 2 chiều, sàn gỗ, khóa vân tay, cửa chống cháy, hệ thống Smart homes... Nội khu lớn nhất dự án với sân thể thao và bể bơi tropical rộng 1000m² có sofa chìm nghỉ dưỡng. Anh/Chị liên hệ e Trang (Call/Zalo): [phone_number] để e Trang hỗ trợ tư vấn AC ngay nhé!",Căn hộ chung cư,Hà Nội,Gia Lâm,,,Vinhomes Ocean Park,4310000000.0,64.1,,,,,2.0,2.0,Tây Bắc,Tây Nam,2025-06-19T09:24:25.037000
"Chính chủ bán CH Sapphire palace số 4 Chính kinh 110m2 3 ngủ ,full đồ căn góc,sẵn sổ chỉ hơn 7 tỷ","Căn hộ chung cư tại Sapphire Palace, Chính Kinh, Thanh Xuân Trung, Thanh Xuân, Hà Nội đang được chào bán với mức giá hấp dẫn 7,2 tỷ VND. Với diện tích 110m2, căn hộ này sở hữu thiết kế hiện đại và không gian sống thoải mái, lý tưởng cho những gia đình đang tìm kiếm một nơi an cư. Điểm đặc biệt: - Thiết kế: 3PN + 2WC + bếp - Nội thất: Đầy đủ với các trang thiết bị như điều hòa, giường, tủ lạnh... Khu vực xung quanh căn hộ rất thuận tiện với nhiều tiện ích: - Cách trường học California Centuryon Royal City khoảng 2km - Cách siêu thị Winmart Trung Hòa và Winmart Vincom Royal City khoảng 2km - Cách bệnh viện Đại học Y Hà Nội và bệnh viện Mắt Sài Gòn khoảng 2km Để biết thêm thông tin chi tiết về căn hộ, vui lòng liên hệ với Hoàng Hải qua số điện thoại [phone_number]",Căn hộ chung cư,Hà Nội,Thanh Xuân,Thanh Xuân Trung,Chính Kinh,Sapphire Palace,7200000000.0,110.0,,,,,3.0,2.0,,,2025-06-25T10:45:32.074000
"Bán nhà phố yên hòa 35m 5t mt khủng, dân xây, 30m ra mặt phố, ô tô dừng đỗ, ngõ rộng 4m, [phone_number]","BÁN NHÀ PHỐ YÊN HÒA 35M 5T MT KHỦNG, DÂN XÂY, 30M RA MẶT PHỐ, Ô TÔ DỪNG ĐỖ, NGÕ RỘNG 4M, [phone_number] - Diện tích: 35M2 MT khủng. - Thiết kế: 5 tầng mới đẹp, nhà dân xây ép cọc bê tông chắc chắn. 3 phòng ngủ master. - Vị trí: siêu đẹp 30M RA MẶT PHỐ Ô TÔ DỪNG ĐỖ THOẢI MÁI - PHỐ HIẾM NHÀ BÁN - KHU VỰC DÂN TRÍ CAO Ở SƯỚNG - 1 BƯỚC RA NGÕ RỘNG 4M NHÌN THẲNG RA PHỐ - Nhà xây chắc chắn chủ để lại toàn bộ nội thất gỗ thịt chắc chắn. - Khu vực dân trí cao xung quanh nhiều chung cư, trường học, chợ dân sinh, công viên Cầu Giấy. - Pháp lý: Sổ đỏ chính chủ sẵn sàng giao dịch trong ngày. - Liên hệ: Em Tuyên - để được xem nhà trực tiếp hoàn toàn miễn phí.",Nhà,Hà Nội,Cầu Giấy,Yên Hòa,Yên Hòa,,8200000000.0,35.0,,,,,,,,,2025-06-01T03:24:32.896000
"Bán đất phân lô Tu Hoàng, Phương Canh, ô tô đỗ cửa, nở hậu, 68m2, 125 triệu/m2","Bán đất phân lô Tu Hoàng, Phương Canh, ô tô đỗ cửa, nở hậu, 68m2, 125 triệu/m2 Ngõ nông, rộng, ô tô 4 chỗ đỗ cửa, gần sát chợ Nhổn, cách đường 32 vài bước chân, khu đông dân cư xây ở hay toà dịch vụ đều đẹp DT: 68m, Giá đầu tư 125 triệu/m2 Sổ đỏ chính chủ, sẵn sàng giao dịch Lhe: [phone_number] - Minh Anh",Đất,Hà Nội,Nam Từ Liêm,Phương Canh,Tu Hoàng,,8500000000.0,68.0,,,,,,,,,2025-06-16T12:54:12.301000
"Chính chủ bán gấp căn Vinapharm 60b Nguyễn Huy Tưởng 62m, 2 ngủ full cao cấp giá 5 tỷ","Gia đình chuyển đổi nhu cầu cần bán gấp chung cư Vinapharm 60B Nguyễn Huy Tưởng , Thanh Xuân, Hàng xóm quần thể Hapulico Ban công đông nam tầng trung thoáng mát Căn góc 62m - 2PN - 2wc, full nội thất mới cao cấp cả đồ điện tủ Sổ đỏ giao dịch nhanh Liên hệ [phone_number]",Căn hộ chung cư,Hà Nội,Thanh Xuân,,,,5000000000.0,62.0,,,,,2.0,2.0,Tây Bắc,Đông Nam,2025-06-23T05:33:24.506000
"Hàng hiếm, sẵn nhà cấp 4 mới tinh về sẵn ở diện tích 40m2 nhỉnh 3 tỷ ngõ thông liên hệ trực tiếp",Hàng hiếm _ sẵn nhà cấp 4 mới tinh về sẵn ở diện tích 40m nhỉnh 3 tỷ ngõ thông liên hệ trực tiếp với em [phone_number] để làm việc chính chủ. Thanh Vân [phone_number].,Nhà,Hà Nội,Đông Anh,Đại Mạch,,,3200000000.0,40.0,,,,,1.0,1.0,,,2025-06-12T03:06:16.021000
"Bán nhà đất ngõ 203 Trường Chinh, Thanh Xuân 66.82m2 MT 5.25m Đông Nam giá 14.7 tỷ sổ đỏ chính chủ","Bán nhà đất TT Quận Thanh Xuân. Khu vực dân trí cao hạ tầng đồng bộ, giao thông đi lại thuận tiện, xây CCMN nhu cầu thuê cao. Gần nhiều trường học các cấp, điện nước đầy đủ. Tiện ích diện tích rộng KD - Online.... Nhà đất hướng Đông Nam phong thủy, ngõ cách vài bước chân ra phố. DT sổ đỏ: 66.82m2. MT 5.25m. Giá 14.7 tỷ. Sổ đỏ chính chủ, sẵn sàng giao dịch. Chuẩn pháp lý. Không quy hoạch.",Nhà,Hà Nội,Thanh Xuân,Khương Mai,Trường Chinh,,14700000000.0,66.82,,5.0,,,,,Đông Nam,,2025-06-18T16:45:08.968000
"Bán nhà phố Hào Nam, Đống Đa, gần hồ Hoàng Cầu. Dân xây, cách ô tô 5m, 58m2 x 5T giá 15.8 tỷ","- Trung tâm Đống Đa, nhà cách ô tô 5m, mặt phố 50m thẳng tắp. - Gần hồ Hoàng Cầu, ga Cát Linh - Hà Đông. - Khu vực dân trí cao, tiện ích bạt ngàn. - Sổ 55m2 thực tế 58m2. Gọi ngay em Minh: để nhận thông tin và xem nhà.",Nhà,Hà Nội,Đống Đa,,Hào Nam,,15800000000.0,58.0,5.0,,,,,,,,2025-06-25T16:35:55.877000
Siêu phẩm nhà đẹp Cầu Giấy-nhà xây 6 tầng-cầu thang máy-ngõ thông kinh doanh-dt 45m2-nhỉnh 14 tỷ,"Trung tâm Cầu Giấy - mặt ngõ ô tô thông tứ tung - kinh doanh tấp nập ngày đêm. Vị trí đắc địa, nằm ngay mặt ngõ Cầu Giấy, tuyến ngõ thông, sầm uất, kinh doanh tấp nập suốt ngày đêm. Gần chợ, trường đại học, văn phòng, dân cư đông đúc, phù hợp mọi mô hình: Cửa hàng, spa, văn phòng, cho thuê. Cầu Giấy thông ra Nguyễn Khang, gần các tuyến phố lớn. Trần Thái Tông, Nguyễn Văn Huyên, Láng, Hoa Bằng... Nhà xây 5 tầng, 1 lửng. + Tầng 1: Phòng khách (cửa hàng), vs. + Tầng lửng: Bếp, phòng ăn. + Tầng 2,3,4: Mỗi tầng 2 phòng ngủ, vs giữa. + Tầng 5: 2 sân phơi có thể sửa thành 2 phòng ngủ. Sổ đỏ chính chủ, sẵn sàng giao dịch. - Liên hệ: Vũ Hiền [phone_number]",Nhà,Hà Nội,Cầu Giấy,Quan Hoa,Cầu Giấy,,14600000000.0,45.0,,3.8,,,,,Đông Nam,,2025-06-24T02:21:05.676000
Bán tòa chdv mễ trì thượng 7 tầng 100m 16 phòng full nội thất giá 21 tỉ ( đtl202530),"BÁN TÒA CHDV MỄ TRÌ THƯỢNG 7 TẦNG 100M 16 PHÒNG FULL NỘI THẤT GIÁ 21 TỈ ( ĐTL202530) Diện tích đất: Gần 100m² Kết cấu: 7 tầng thang máy hiện đang vận hành khai thác 16 phòng khép kín full nội thất THIẾT KẾ CHI TIẾT Tầng 1: Để xe rộng rãi Tầng 2 Tầng 6: Mỗi tầng 3 phòng khép kín tổng 15 phòng, đều có ánh sáng tự nhiên Tầng 7: 1 phòng khép kín + sân phơi. Có thể cải tạo thêm 2 phòng nếu cần Lô góc, thông thoáng phòng nào cũng có cửa sổ ánh sáng tự nhiên Nội thất full: Giường, tủ, điều hòa, nóng lạnh, thiết bị vệ sinh cao cấp Hệ thống phòng cháy chữa cháy đầy đủ vận hành chuyên nghiệp TIỆN ÍCH & VỊ TRÍ ĐẮC ĐỊA Cách Keangnam, The Manor, Big C Garden chỉ vài phút di chuyển Gần trường học, bệnh viện, khu hành chính quận, bến xe Mỹ Đình Khu vực dân trí cao nhu cầu thuê cực mạnh Hiện đã full phòng cho thuê dòng tiền ổn định, sẵn vận hành Liên Hệ Em Hạnh [phone_number] Chuyên BĐS Hà Nội: Cầu Giấy, Mỹ Đình, Phạm Hùng, Nguyễn Hoàng, Hàm Nghi, Hồ Tùng Mậu để xem nhà ngay!",Nhà,Hà Nội,Nam Từ Liêm,,,Khu đô thị Mễ Trì Thượng,21000000000.0,100.0,7.0,,,,,,,,2025-06-16T01:19:51.819000
